latitude,longitude,year,month,day,cp,e,ilspf,lsp,pev,tcrw,tp,swvl1,swvl2,ro
18.0,77.0,2019,9,26,8.268654e-05,-0.0004611648,0.87563515,4.2009633e-05,-0.0004960762,0.008045435,0.00012442237,0.50017744,0.5084219,1.1701137000000002e-05
17.25,77.75,2019,3,27,0.0,-0.00030368363,0.0,0.0,-0.0009376677,0.0,0.0,0.23170984,0.30732209999999993,0.0
17.0,78.0,2018,10,28,0.0,-0.00044626080000000003,0.0,0.0,-0.0008149815,0.0,0.0,0.18980984,0.22958334,4.8754737e-07
17.5,77.5,2019,2,12,0.0,-0.00016755068,0.0,0.0,-0.0006696864999999999,0.0,0.0,0.15130731,0.18098783,2.4354085000000004e-07
17.75,78.0,2019,2,9,0.0,-0.0002871709,0.0,0.0,-0.00070575444,0.0,0.0,0.23742993,0.26448634,7.310881999999999e-07
18.0,77.5,2019,12,22,0.0,-0.00023140115000000003,0.0,0.0,-0.000551526,0.0,0.0,0.28579748,0.3125094,1.0969583e-05
17.75,77.25,2018,12,21,1.1604279e-06,-0.00025009585,0.0,0.0,-0.00050672144,0.0,1.5120022e-06,0.26761794,0.2765023,7.310881999999999e-07
17.0,78.0,2019,5,14,0.0,-0.0003083157,0.0,0.0,-0.0010407162,0.0,0.0,0.13624728,0.15657033,0.0
17.75,77.75,2019,12,12,2.9010698e-07,-0.00032931258,0.0,0.0,-0.000571144,0.0,0.0,0.263646,0.2999443,9.506941000000001e-06
18.0,77.0,2019,6,7,2.5531277e-05,-0.00025470942000000005,0.0,0.0,-0.0009628936,0.0007220506699999999,2.4841167000000002e-05,0.29973325,0.2856151,0.0
17.25,78.0,2019,8,21,0.0005474705,-0.00026438962000000004,0.98876905,4.7597103e-05,-0.00027047923999999997,0.0035413503999999997,0.00059511093,0.43468670000000004,0.42268023,8.288305e-06
18.0,77.25,2019,3,7,0.0,-0.00024728517999999996,0.0,0.0,-0.0008883571,0.0,0.0,0.24995112,0.2981159,2.4354085000000004e-07
17.0,77.5,2019,9,26,5.9911516e-05,-0.00031031278,0.36300796,9.767804e-05,-0.00034698346,0.0020629168,0.00015790388000000002,0.4961005,0.5001854,6.9472007e-06
17.0,78.0,2019,6,28,2.5531277e-05,-0.00034037037000000003,0.0,3.1041447e-05,-0.0005595936,0.011002302,5.6162942000000006e-05,0.32669675,0.294979,4.8754737e-07
17.25,77.5,2019,9,4,0.0006186971400000001,-0.00014018355,0.99942017,0.00047493865999999996,-8.433469e-05,0.053464412999999995,0.0010938807,0.49728033,0.51442695,0.0005461834400000001
17.5,77.75,2018,2,5,0.0,-0.00020555029999999998,0.0,0.0,-0.0007053019000000001,0.0,0.0,0.17104349,0.21214059,3.7783757000000005e-06
17.75,77.25,2019,2,9,0.0,-0.00020727,0.0,0.0,-0.0007443214,0.0,0.0,0.22330266,0.25456747,2.4354085000000004e-07
18.0,77.75,2018,9,18,6.9920905e-05,-0.00037579046000000004,0.10001069,4.9666499999999996e-05,-0.00049920485,0.0006188154,0.00011923816000000001,0.39683276,0.35501220000000006,2.6812777e-06
17.75,77.25,2018,4,15,2.2339634999999998e-05,-0.00029502047,0.0,0.0,-0.00081651635,0.03163171,2.2464897e-05,0.26168782,0.25176936,1.4626421000000002e-06
17.5,77.75,2019,9,30,0.00011082878,-0.00050269626,0.0,4.1397288e-07,-0.00055217533,0.0,0.00011167768400000001,0.42926311,0.42615592,1.1944677999999999e-05
17.25,77.0,2019,8,10,2.0308886e-05,-0.00030342475,0.23775807,1.4279038e-05,-0.0004061129,0.008561134,3.520958e-05,0.48939204,0.49467683,4.8754737e-07
17.5,77.0,2019,7,30,9.8933466e-05,-0.00032967317,0.77609754,0.00073858676,-0.00021603296000000002,0.31177849999999996,0.0008372594599999999,0.44676930000000004,0.44095829999999997,9.506941000000001e-06
17.25,77.0,2018,3,5,0.0,-0.00033106,0.0,0.0,-0.00090374454,0.0,0.0,0.26168782,0.3056164,2.4354085000000004e-07
17.25,77.25,2018,1,17,0.0,-0.0003039795,0.0,0.0,-0.0006610679600000001,0.0,0.0,0.286304,0.32263857,7.310881999999999e-07
17.5,78.0,2019,10,12,0.00017494707999999998,-0.00044752745,1.0,4.1397288e-07,-0.00047352634000000004,0.0,0.0001754011,0.46574570000000004,0.46380442,1.9014347e-05
17.0,77.75,2019,12,11,8.254126e-05,-0.00027885904999999997,0.0,0.0,-0.00039975723,0.0,8.2948245e-05,0.3118344,0.31702486,1.2432225000000001e-05
18.0,77.0,2019,10,23,0.000100093894,-0.00038294660000000004,0.10001069,4.759524e-06,-0.00042384187999999995,0.0,0.00010498147499999999,0.48163345,0.4909616,2.2427179e-05
17.75,77.75,2019,7,31,0.00011039339,-0.00039282095,0.0,1.676241e-05,-0.00049412815,0.0008594989999999999,0.00012679864,0.45656633,0.4556088,1.4626421000000002e-06
17.25,77.0,2018,5,29,1.7697923e-05,-0.00029675862999999997,0.0,0.0,-0.000949651,0.0,1.7064623999999998e-05,0.2859457,0.29177204,0.0
17.25,77.0,2019,8,24,5.6719873e-05,-0.0004136884,0.10001069,4.2837579999999997e-05,-0.00051374617,0.01928842,0.00010022893500000001,0.43422958,0.41300085,9.750947e-07
17.0,77.0,2019,5,6,0.0,-0.00018523761999999998,0.0,0.0,-0.0010462061,0.0,0.0,0.24496612,0.28427738,0.0
17.25,78.0,2019,10,23,4.0619634e-06,-0.0003682275,0.39386263,3.0006747999999996e-05,-0.00041567592,0.003782034,3.434578e-05,0.45125395,0.4565785,2.6693568e-05
17.25,77.5,2018,4,8,1.1459924e-05,-0.00043885503,0.0,0.0,-0.0009006749,0.0,1.1448282999999999e-05,0.2980098,0.3075441,1.4626421000000002e-06
17.25,77.5,2018,9,20,9.748293e-05,-0.00021831854,0.0,4.1397288e-07,-0.00022555664,0.023551822000000004,9.785313e-05,0.47179934,0.4275754,1.4626421000000002e-06
17.5,77.5,2018,8,10,3.6266167e-05,-0.00026889224,0.0,4.1397288e-07,-0.00040688028,0.00013756752000000002,3.6721583e-05,0.32041454,0.29288775,4.8754737e-07
18.0,78.0,2018,8,19,0.0005039517,-0.00019256017,0.9160423000000001,0.00024171174,-0.00016931974,0.092763424,0.00074567087,0.45863572,0.45631564,1.8161256e-05
18.0,77.75,2019,1,3,0.0,-0.00025490357000000006,0.0,0.0,-0.00060963223,0.0,0.0,0.2755927,0.32317013,9.750947e-07
17.5,77.0,2018,11,25,0.0,-0.00026360375,0.0,0.0,-0.0007023503,0.0,0.0,0.18227983,0.19599466,4.8754737e-07
17.0,77.5,2018,9,12,3.960263e-05,-0.0005050169,0.0,2.234988e-05,-0.0006502456,0.00024068355999999998,6.242701999999999e-05,0.34175059999999996,0.36699313,9.750947e-07
17.25,77.75,2018,8,9,2.8867740000000004e-05,-0.00040167830000000003,0.10001069,7.01542e-05,-0.0005514276,0.006842017,9.871693e-05,0.43135100000000004,0.36210963,1.4626421000000002e-06
17.25,77.0,2019,5,10,0.0,-0.00022559487999999998,0.0,0.0,-0.0009924682,0.00024068355999999998,0.0,0.24548501,0.28848909999999994,0.0
18.0,77.75,2018,10,5,6.484333400000001e-05,-0.00041159888,0.0,3.7248246e-06,-0.0007117166,0.0,6.825942500000001e-05,0.33063164,0.33352712,1.9501895e-06
17.25,78.0,2018,12,18,0.0,-0.00011326946000000002,0.0,0.0,-0.00034050972,0.0,0.0,0.23714578,0.2684469,4.8754737e-07
17.25,77.0,2019,11,7,2.437085e-05,-0.0004932102,0.0,1.4486723e-06,-0.00055390695,0.0,2.5705434e-05,0.44174725,0.4561813,3.7783757000000005e-06
17.5,78.0,2019,11,26,0.0,-0.00031172734000000003,0.0,0.0,-0.0005360796,0.0,0.0,0.2625341,0.30874159999999995,2.1208543e-05
17.75,77.25,2019,3,24,0.0,-0.00016870638,0.0,0.0,-0.0007635458,0.00024068355999999998,0.0,0.19826026,0.23461872,4.8754737e-07
18.0,77.0,2019,7,23,0.00014825538,-0.0004478603,0.21489936,9.0021174e-05,-0.00055052247,0.004263401,0.00023890845000000001,0.47734648,0.46535829999999995,2.1937302999999996e-06
17.5,77.0,2018,8,11,0.00010473607,-0.00029534407000000006,0.10684693,4.759524e-06,-0.00045028777,0.049819946,0.000109301414,0.32916763,0.28764209999999996,9.750947e-07
17.5,77.25,2018,3,12,0.0,-0.00030287926,0.0,0.0,-0.0009377857,0.0,0.0,0.15694092,0.19336599,7.310881999999999e-07
17.75,77.5,2018,2,10,0.0,-0.00017115648,0.0,0.0,-0.00061775884,0.00013756752000000002,0.0,0.21445072,0.24588698,3.7783757000000005e-06
17.0,77.75,2018,4,27,1.0156073e-06,-0.00030009632,0.0,0.0,-0.0009143504400000001,0.0,8.638016999999999e-07,0.19557935,0.23643541,1.4626421000000002e-06
17.5,77.5,2019,6,21,4.0619634e-06,-0.00012930142,0.0,0.0,-0.0007098276,0.0,3.8882717e-06,0.17054313,0.16356261,2.4354085000000004e-07
17.75,77.5,2019,12,23,0.0,-0.00023786385,0.0,0.0,-0.0005573307,0.0,0.0,0.22956635,0.2628741,1.4016870000000001e-05
17.75,77.0,2018,4,14,5.947426e-06,-0.0003698825,0.0,0.0,-0.00078442314,0.0031630993,5.6163409999999996e-06,0.28358603,0.25490627,1.4626421000000002e-06
