time,cp,lsp,swvl1,ro,sd,dis
1981-08-26,0.0008166061,0.0013335539,0.36062837,5.228013E-05,0.00010865884,1799.62341308562
1981-08-27,0.0022376515,0.0018491313,0.36965495,7.2002455E-05,5.967657E-05,1782.01940917937
1981-08-28,0.0024323924,0.0038709783,0.37546805,8.4427724E-05,2.760873E-05,1694.94677734345
1981-08-29,0.00054824754,0.00024421327,0.36547202,4.875882E-05,1.1301909E-05,1629.78649902315
1981-08-30,0.0003346303,0.00025867048,0.35559434,4.6942354E-05,2.754023E-06,1608.23083496065
1981-08-31,0.00027201723,1.7981452E-05,0.34670067,4.7304482E-05,0,1562.19177246066
1981-09-01,0.0032392293,0.004380504,0.36499712,7.955311E-05,0,1473.16528320286
1981-09-02,0.00079485145,0.00020418556,0.36111435,4.9565635E-05,0,1388.16345214819
1981-09-03,0.0009948987,0.0019321581,0.35662305,6.813386E-05,0.00033254529,1346.18261718726
1981-09-04,0.00030850348,0.0004999785,0.35397735,5.344844E-05,0.00021949012,1335.28234863258
1981-09-05,7.925926E-05,1.5505502E-05,0.3412881,4.681601E-05,8.001341E-05,1343.47351074195
1981-09-06,2.7014303E-07,1.9897773E-06,0.3342283,4.510144E-05,1.9983852E-05,1355.93749999976
1981-09-07,1.6259524E-07,1.07336945E-07,0.32430628,4.435942E-05,4.2565466E-06,1347.66186523414
1981-09-08,0.0012745117,0.00011773416,0.31943765,4.6494217E-05,7.4053077E-07,1310.21789550758
1981-09-09,0.006473083,0.0025936645,0.36072695,6.6874745E-05,0,1259.9982910154
1981-09-10,0.0012453552,0.000118282565,0.36169574,4.886718E-05,0,1217.49768066385
1981-09-11,0.0024689727,0.00030302338,0.3559451,5.3143063E-05,0,1195.3272705076
1981-09-12,0.0003734463,5.5428347E-05,0.35185924,4.256798E-05,0,1192.98229980448
1981-09-13,0.005470404,0.005994549,0.36889613,8.558935E-05,9.748998E-08,1203.02600097635
1981-09-14,0.004828763,0.003442539,0.38960648,8.20344E-05,5.8310725E-05,1218.53857421853
1981-09-15,0.0017035349,0.0005318177,0.37745532,4.9968963E-05,0.0001081698,1260.55371093728
1981-09-16,0.003720083,0.0017353122,0.3785979,6.303028E-05,9.0850204E-05,1333.50671386695
1981-09-17,0.001865684,0.0007547571,0.37892258,5.532345E-05,5.4003773E-05,1396.50781249975
1981-09-18,0.00046696886,0.00039330736,0.3635503,4.27974E-05,2.3314728E-05,1416.44445800756
1981-09-19,0.003646336,0.005480255,0.39150706,7.437164E-05,8.312304E-06,1394.79211425757
1981-09-20,2.6608306E-05,0.000103297,0.37676615,4.182432E-05,2.5131233E-06,1352.49438476539
1981-09-21,0.0001379942,7.2473986E-06,0.3619976,4.18772E-05,0,1313.1507568357
1981-09-22,9.9342345E-05,2.152197E-05,0.35163754,4.1900832E-05,0,1275.27026367165
1981-09-23,0.0022734052,0.007996693,0.38011473,8.209947E-05,0,1237.68835449197
1981-09-24,0.0012102324,0.00080556097,0.38029328,4.8731938E-05,0,1204.12658691385
1981-09-25,0.0010928899,0.0027139112,0.38310167,6.33689E-05,0,1198.60693359354
1981-09-26,2.9667131E-05,4.9003178E-05,0.36871725,4.1051135E-05,0,1215.42236328103
1981-09-27,0.0007304536,0.0018629577,0.36670002,5.445823E-05,1.1424686E-07,1241.14208984353
1981-09-28,0.003922602,0.015363777,0.39497682,0.00014453888,0.000306221,1252.42175292947
1981-09-29,0.0027471166,0.021997524,0.42328125,0.00016247103,0.0017078908,1289.38549804665
1981-09-30,0.00053014513,0.0023012236,0.40743127,6.452479E-05,0.0022022643,1497.52954101536
1981-10-01,7.501513E-06,2.7688525E-06,0.39048925,5.6034958E-05,0.0017377129,1767.43908691375
1981-10-02,0.0005366076,0.00227111,0.38271523,6.78159E-05,0.0012342376,1852.35595703092
1981-10-03,0.0002577131,0.0024625296,0.391606,7.091485E-05,0.00090650516,1774.00537109344
1981-10-04,8.111904E-05,0.00014108601,0.37935996,5.7303554E-05,0.0005617886,1658.20324707002
1981-10-05,0.00068047224,0.0024859677,0.37867996,6.315596E-05,0.00031322349,1566.57971191378
1981-10-06,0.00075247866,3.8069917E-05,0.37167808,5.6740202E-05,0.00014412377,1499.47167968723
1981-10-07,0.003218491,0.0021461113,0.38929385,7.551719E-05,7.487458E-05,1436.89196777318
1981-10-08,2.7339825E-05,9.328196E-06,0.37523612,5.393904E-05,4.845781E-05,1380.54382324194
1981-10-09,0.0007286148,0.00021014219,0.3663243,5.4480875E-05,2.5241556E-05,1342.36621093726
1981-10-10,0.002914403,0.0065745916,0.3913589,8.746968E-05,1.4750838E-05,1325.61035156226
1981-10-11,0.0070968363,0.008352257,0.41775635,0.00014441942,4.676542E-05,1362.53320312476
1981-10-12,0.004073957,0.0065432778,0.40737376,0.00011168993,0.00034403134,1454.80249023412
1981-10-13,0.0022164267,0.0028208783,0.40823653,6.7009074E-05,0.0021161404,1536.60766601535
1981-10-14,0.0006725551,0.0030175836,0.3959871,6.656633E-05,0.0024377876,1620.57751464815
1981-10-15,0.0024053147,0.020280069,0.4228495,0.00019738603,0.0022484644,1765.22692871062
1981-10-16,0.0022047895,0.0011999806,0.40950137,8.7447705E-05,0.0016321811,1922.03869628872
1981-10-17,0.00055981724,0.00028765333,0.3958484,7.110974E-05,0.0010765733,1899.38549804654
1981-10-18,0.0018375719,0.0028429937,0.39271998,7.959728E-05,0.00061973324,1858.04394531217
1981-10-19,0.0011804629,0.0019664492,0.40435517,8.8992E-05,0.00039993314,1828.74511718718
1981-10-20,8.47815E-06,0.0012386035,0.38896257,7.101337E-05,0.00025380283,1783.74499511687
1981-10-21,0.00039281347,0.011074868,0.40810803,9.75162E-05,0.00029296798,1742.68518066375
1981-10-22,0.0006342166,0.017325435,0.41426173,8.73077E-05,0.005430252,1731.94909667938
1981-10-23,0.0007276812,0.0014178534,0.40402943,7.436881E-05,0.009086444,1717.94445800751
1981-10-24,0.0009101453,0.0010504703,0.3958144,7.4203665E-05,0.008877887,1676.35522460908
1981-10-25,0.00012872122,0.00014597965,0.38798502,7.420407E-05,0.008314613,1624.45605468721
1981-10-26,1.6400794E-05,0.0027224591,0.38314134,7.85781E-05,0.008699611,1573.79223632785
1981-10-27,0.000717635,0.018816564,0.39863083,8.790515E-05,0.014612436,1540.13366699191
1981-10-28,0.00035858285,0.0041087065,0.4073191,8.1343125E-05,0.020464174,1534.00341796848
1981-10-29,0.00037151648,0.00036372474,0.39569798,7.875689E-05,0.017422017,1527.75317382785
1981-10-30,0.0022642019,0.008973541,0.40991995,0.000116940166,0.016258534,1529.3190917966
1981-10-31,0.0007634411,0.0038880156,0.41191566,0.00012391897,0.014624087,1550.63342285129
1981-11-01,0.0016785937,0.0012710122,0.4077294,0.00011120065,0.012639177,1584.74743652316
1981-11-02,4.32729E-05,0.00022619513,0.3989645,0.00010680857,0.011331329,1643.48852539033
1981-11-03,5.6531742E-05,0.0002863477,0.39157468,0.00010515403,0.010200371,1719.68920898407
1981-11-04,7.1814825E-06,4.8091977E-05,0.3850402,0.00010102942,0.00907832,1791.18981933562
1981-11-05,0.00017356467,0.0022711533,0.38744065,0.000104693296,0.007310614,1841.03100585905
1981-11-06,0.0012699994,0.0014996522,0.3872561,9.102647E-05,0.007627244,1870.84826660123
1981-11-07,0.0029408664,0.0018854095,0.38377464,8.8597604E-05,0.010282031,1879.19104003873
1981-11-08,0.00020096055,0.00049808325,0.37697682,8.7455795E-05,0.010896992,1862.05541992154
1981-11-09,0.0009125737,0.0023364152,0.37133953,8.687914E-05,0.01338818,1823.67382812468
1981-11-10,0.0004557475,0.0017118694,0.36751357,8.619905E-05,0.015415445,1776.34326171843
1981-11-11,2.9830835E-05,0.00252822,0.3648163,8.540719E-05,0.013709816,1732.35485839813
1981-11-12,0.00017622976,0.004086085,0.3691489,8.690496E-05,0.015173394,1696.98010253876
1981-11-13,0.0007141799,0.0042571384,0.38791898,9.059917E-05,0.014327876,1671.45190429658
1981-11-14,0.0055212267,0.006335355,0.38960472,8.464314E-05,0.018837702,1654.06750488252
1981-11-15,0.0013295808,0.0024562937,0.37851584,8.1802296E-05,0.024562944,1639.90405273408
1981-11-16,2.551516E-05,0.00025027953,0.37235898,8.0774895E-05,0.024885878,1626.08020019502
1981-11-17,2.860877E-05,2.7930811E-05,0.36932853,7.989321E-05,0.024057144,1611.03552246065
1981-11-18,0.00010062121,0.0008030749,0.37227175,8.0266116E-05,0.0239245,1594.38024902315
1981-11-19,0.0015198701,0.0012317656,0.38092983,8.554579E-05,0.021884473,1578.37451171847
1981-11-20,3.268657E-05,2.9617795E-05,0.38075957,8.299931E-05,0.020530742,1565.03247070285
1981-11-21,3.384901E-06,6.370584E-05,0.37454203,7.9222664E-05,0.01973648,1552.45690917941
1981-11-22,8.229259E-05,0.00035039967,0.37347952,8.190239E-05,0.019034795,1540.94030761691
1981-11-23,0.0001428714,2.367482E-05,0.37077186,7.7121455E-05,0.018414563,1531.5153808591
1981-11-24,0.0014071265,0.0032115984,0.38461816,8.21535E-05,0.018350856,1523.20532226535
1981-11-25,0.000692233,0.001164326,0.37761235,7.255794E-05,0.019299222,1515.84960937473
1981-11-26,0.00027868905,0.0053651407,0.37042367,7.1696624E-05,0.022646394,1505.80847167942
1981-11-27,0.0014882935,0.004835837,0.38094273,8.038832E-05,0.024683192,1494.2105712888
1981-11-28,0.004443463,0.0043156915,0.39991584,7.68583E-05,0.024368217,1486.15124511692
1981-11-29,0.001146842,0.0064113294,0.3848325,6.948678E-05,0.028258761,1470.41064453099
1981-11-30,0.0018104762,0.017155437,0.38299954,7.2816074E-05,0.036834724,1448.03833007787
1981-12-01,0.0012781298,0.01304484,0.39122102,7.307628E-05,0.0471265,1426.40319824193
1981-12-02,0.0012938603,0.005448139,0.38007793,6.7662266E-05,0.04991042,1405.65759277319
1981-12-03,0.00012819158,0.0012793788,0.37501982,6.707033E-05,0.054002233,1384.47167968725
1981-12-04,0.0007150322,0.01606222,0.37777078,6.9041824E-05,0.061812878,1364.40234374976
1981-12-05,0.002073571,0.0030416276,0.38145375,6.6367116E-05,0.063061774,1346.57922363257
1981-12-06,0.00028254392,0.0015162183,0.37301648,6.559822E-05,0.064028546,1329.1790771482
1981-12-07,0.0011236443,0.0046917684,0.37203214,6.604297E-05,0.06267373,1312.39184570289
1981-12-08,0.0058636633,0.005760466,0.39341235,9.2425595E-05,0.06092522,1302.58801269508
1981-12-09,0.002371224,0.004098044,0.39006734,6.6457134E-05,0.058039285,1303.08508300758
1981-12-10,0.0017154674,0.00305694,0.37940016,6.470914E-05,0.060792908,1291.45898437477
1981-12-11,0.0022600533,0.0031723024,0.38134748,7.923508E-05,0.06294248,1278.84814453102
1981-12-12,0.0015860894,0.005144458,0.39211145,7.156978E-05,0.06260915,1275.47204589821
1981-12-13,9.725728E-05,0.00071421167,0.37919086,6.5599655E-05,0.062877744,1273.69042968727
1981-12-14,0.0030587283,0.0035679222,0.38002825,6.872424E-05,0.06545367,1267.69238281228
1981-12-15,0.0037419153,0.0043091946,0.38594824,6.917484E-05,0.06896079,1263.54064941384
1981-12-16,0.0018084,0.012093532,0.38001862,7.18131E-05,0.07746744,1260.3420410154
1981-12-17,0.0015994494,0.0025181095,0.3737105,6.742069E-05,0.0860779,1254.87207031228
1981-12-18,0.00016611141,0.0035146647,0.3694925,6.7365574E-05,0.08981455,1248.08020019509
1981-12-19,8.609221E-05,0.006367546,0.366092,6.726702E-05,0.09716573,1240.76037597634
1981-12-20,1.1728085E-06,0.0004159864,0.36310223,6.706599E-05,0.09607238,1233.51318359353
1981-12-21,2.6609468E-06,0.00055428705,0.36092418,6.681394E-05,0.09303993,1226.99804687478
1981-12-22,4.7401692E-05,0.00065703166,0.35891157,6.64778E-05,0.09225221,1221.7130126951
1981-12-23,4.4912445E-05,0.0016418601,0.35731953,6.6098764E-05,0.09034223,1217.53088378885
1981-12-24,0.0008056039,0.0010495045,0.3561815,6.576666E-05,0.09366294,1213.43041992166
1981-12-25,0.00038987707,0.0046405178,0.354729,6.51986E-05,0.096844286,1208.80126953104
1981-12-26,0.00020305921,0.0010783173,0.35329288,6.472244E-05,0.10052411,1203.53759765604
1981-12-27,2.5459757E-08,6.604658E-05,0.35235104,6.419128E-05,0.1005422,1198.0089111326
1981-12-28,9.304202E-08,0.00010421016,0.35113117,6.3693435E-05,0.100453764,1192.24487304666
1981-12-29,0.0007840718,0.0007034337,0.3505026,6.325704E-05,0.101066954,1186.25634765604
