index,cp,lsp,swvl1,ro,sd
12932,7.7264376E-05,0.0013863858,0.360925,3.4975816E-05,0.0065885447
12933,4.6264326E-05,0.0034835709,0.37430915,3.7485333E-05,0.006730912
12934,0.000559704,0.0020390123,0.37205905,4.2516713E-05,0.006902389
12935,0.00018994801,0.0012292688,0.3739586,3.3347453E-05,0.007411249
12936,2.0954458E-05,0.0021174334,0.36876372,3.2870463E-05,0.008520335
12937,1.1211339E-06,0.00032202716,0.36466032,3.2346245E-05,0.008435084
12938,0,1.0498222E-07,0.3613231,3.2143504E-05,0.008548732
12939,0,2.068104E-06,0.3594265,3.1999105E-05,0.008491382
