,cp,lsp,swvl1,ro,sd,lsp-1,lsp-2,lsp-3,cp-1,cp-2,cp-3,dis
6691,0.00019169349999999998,0.012990136999999999,0.35363940000000005,3.1091390000000005e-05,0.0380487,0.003418618,0.0013058882000000001,0.00024511706,1.7394549999999998e-05,6.166444e-05,4.3091477e-05,671.173583984256
6692,1.2178256e-05,0.0034857949,0.36110944,3.2215754000000005e-05,0.04330063,0.012990136999999999,0.003418618,0.0013058882000000001,0.00019169349999999998,1.7394549999999998e-05,6.166444e-05,664.4386596678511
6693,3.1510994e-05,0.000537872,0.36940962,3.2214928e-05,0.038750164,0.0034857949,0.012990136999999999,0.003418618,1.2178256e-05,0.00019169349999999998,1.7394549999999998e-05,658.598449706914
6694,7.053881e-06,1.5590828e-06,0.36613736,3.1258000000000005e-05,0.03564107,0.000537872,0.0034857949,0.012990136999999999,3.1510994e-05,1.2178256e-05,0.00019169349999999998,653.617309570197
6695,1.6582606999999998e-07,7.272938e-05,0.36321178,3.1324693e-05,0.033792768,1.5590828e-06,0.000537872,0.0034857949,7.053881e-06,3.1510994e-05,1.2178256e-05,648.729919433479
6696,5.2041704e-18,1.9358846e-05,0.36188382,3.118913e-05,0.03386028,7.272938e-05,1.5590828e-06,0.000537872,1.6582606999999998e-07,7.053881e-06,3.1510994e-05,643.76019287098
6697,5.2041704e-18,7.1230465e-07,0.3599429,3.0878786e-05,0.03517146,1.9358846e-05,7.272938e-05,1.5590828e-06,5.2041704e-18,1.6582606999999998e-07,7.053881e-06,639.01605224598
6698,5.2041704e-18,6.346197700000001e-07,0.35877359999999997,3.0599735e-05,0.03438869,7.1230465e-07,1.9358846e-05,7.272938e-05,5.2041704e-18,5.2041704e-18,1.6582606999999998e-07,634.518066406138
6699,1.1609355e-06,0.0011392591000000001,0.3608755,3.2147418e-05,0.032073013,6.346197700000001e-07,7.1230465e-07,1.9358846e-05,5.2041704e-18,5.2041704e-18,5.2041704e-18,629.811950683482
6700,0.0009280545599999999,0.0026779375,0.37759674,3.8477505e-05,0.028949127999999998,0.0011392591000000001,6.346197700000001e-07,7.1230465e-07,1.1609355e-06,5.2041704e-18,5.2041704e-18,626.172363281139
6701,3.0810676e-05,0.00027720598,0.37209934,3.1518637e-05,0.027525721,0.0026779375,0.0011392591000000001,6.346197700000001e-07,0.0009280545599999999,1.1609355e-06,5.2041704e-18,624.136901855358
6702,0.00041758953,0.008781748,0.38054693,3.8539598e-05,0.026726019,0.00027720598,0.0026779375,0.0011392591000000001,3.0810676e-05,0.0009280545599999999,1.1609355e-06,623.734008788952
6703,0.0019334899,0.0029563599,0.37719825,3.0061752000000003e-05,0.034917474,0.008781748,0.00027720598,0.0026779375,0.00041758953,3.0810676e-05,0.0009280545599999999,624.3342895506701
6704,0.0001251829,0.00027658112000000004,0.36918256,2.98154e-05,0.03697928,0.0029563599,0.008781748,0.00027720598,0.0019334899,0.00041758953,3.0810676e-05,624.241699218639
6705,0.00036796703,0.00020875805,0.368503,3.1142386000000004e-05,0.035106316,0.00027658112000000004,0.0029563599,0.008781748,0.0001251829,0.0019334899,0.00041758953,621.768127441296
6706,0.00050715596,0.0011324908,0.37913328,3.3092518e-05,0.03129505,0.00020875805,0.00027658112000000004,0.0029563599,0.00036796703,0.0001251829,0.0019334899,618.7773437498901
6707,2.21587e-05,0.00033428660000000003,0.3700912,3.1006417e-05,0.028567062999999997,0.0011324908,0.00020875805,0.00027658112000000004,0.00050715596,0.00036796703,0.0001251829,616.4074096678589
6708,8.839316999999999e-05,0.0035883714,0.3698855,3.1368312e-05,0.02617354,0.00033428660000000003,0.0011324908,0.00020875805,2.21587e-05,0.00050715596,0.00036796703,613.86297607411
6709,0.00025747542,0.0025657418,0.36993855,3.249634e-05,0.026852071,0.0035883714,0.00033428660000000003,0.0011324908,8.839316999999999e-05,2.21587e-05,0.00050715596,610.484252929579
6710,0.0013182086,0.0024881554000000003,0.3789792,3.6557838e-05,0.028882788,0.0025657418,0.0035883714,0.00033428660000000003,0.00025747542,8.839316999999999e-05,2.21587e-05,609.113220214736
6711,0.0018987682,0.0030495296000000002,0.38173237,3.195581e-05,0.032632343,0.0024881554000000003,0.0025657418,0.0035883714,0.0013182086,0.00025747542,8.839316999999999e-05,610.457519531142
6712,0.002328829,0.00709625,0.38229102,3.3603537e-05,0.036208928,0.0030495296000000002,0.0024881554000000003,0.0025657418,0.0018987682,0.0013182086,0.00025747542,611.027648925673
6713,0.0003230444,0.00085331715,0.37498814,3.031433e-05,0.039699405,0.00709625,0.0030495296000000002,0.0024881554000000003,0.002328829,0.0018987682,0.0013182086,607.791015624892
6714,0.00026304965,0.0010632685,0.3684175,3.0384725e-05,0.040557306,0.00085331715,0.00709625,0.0030495296000000002,0.0003230444,0.002328829,0.0018987682,603.381042480362
6715,4.6085035e-05,0.0003470258,0.3657667,3.0521696e-05,0.03880432,0.0010632685,0.00085331715,0.00709625,0.00026304965,0.0003230444,0.002328829,598.734497070206
6716,0.00020093055000000001,0.015670357,0.38476044,5.6641995e-05,0.040971108,0.0003470258,0.0010632685,0.00085331715,4.6085035e-05,0.00026304965,0.0003230444,594.921325683488
6717,0.0005767075299999999,0.01586848,0.3921719,6.7127046e-05,0.044856872,0.015670357,0.0003470258,0.0010632685,0.00020093055000000001,4.6085035e-05,0.00026304965,594.139465331926
6718,0.00031030664,0.0019129565,0.3786912,3.439922e-05,0.051984254,0.01586848,0.015670357,0.0003470258,0.0005767075299999999,0.00020093055000000001,4.6085035e-05,595.835083007707
6719,8.286978000000001e-05,0.0006955440600000001,0.37253693,3.52712e-05,0.053772807,0.0019129565,0.01586848,0.015670357,0.00031030664,0.0005767075299999999,0.00020093055000000001,600.181518554581
6720,3.3960114000000006e-07,7.4941954e-06,0.36881897,3.5748359999999995e-05,0.05015531,0.0006955440600000001,0.0019129565,0.01586848,8.286978000000001e-05,0.00031030664,0.0005767075299999999,605.468505859268
6721,3.35496e-05,0.00027066439999999997,0.36567432,3.6183445999999996e-05,0.04782186,7.4941954e-06,0.0006955440600000001,0.0019129565,3.3960114000000006e-07,8.286978000000001e-05,0.00031030664,610.8471069334851
